Book,Author(s),Original language,First published,Genre,Approximate sales,Subjects,Book_Type,Book word common for the dataset,From top 200 words,Majority_Book_Type,Raw Subjects
Momo,Michael Ende,German,1973,"[""Children's literature""]",13000000,"children, children, fantasy, friendship, girls, youth, language, literature, materials, tales",Fiction,fantasy,"children, childrens, fantasy, friendship, girls, juvenile, language, literatura, materials, tales",Fiction,"Girls, Juvenile fiction, Time, Literatura infantil alemana, fiction, fantasy, interest, tortoises, future, lilies, Children's fiction, Children, fiction, Fairy tales, Fantasy fiction, Friendship, Korean language, Korean language materials, Fiction, general, Friendship, fiction"
Peyton Place,Grace Metalious,English,1956,,12100000,"american, british, family, femmes, german, into, life, manwoman, new, novel, relationships, relationships, roman, american, translation, american",Fiction,romans,"american, england, family, femmes, german, into, life, manwoman, new, nouvelles, relations, relationships, romans, states, translations, united",Uncategorized,"American fiction, Translations into German, City and town life, Fiction, Fiction, general, United states, fiction, Fiction, family life, general, New england, fiction, Cities and towns, Man-woman relationships, Villes, Romans, nouvelles, Relations entre hommes et femmes"
The Giver,Lois Lowry,English,1993,['Dystopian fiction'],12000000,"adult, adventure, adventure, age, children, classic, comics, comics, coming, fantasy, graphic, youth, language, materials, new, novel, psychology, reading, reviewed, science, social, comics, education, education, times, american, youth",Fiction,childrens fiction,"adult, adventure, adventurers, age, childrens, classic, comic, comics, coming, fantasy, graphic, juvenile, language, materials, new, novels, psychology, reading, reviewed, science, social, strips, study, teaching, times, york, young",Fiction,"Social control, Control (Psychology), Juvenile fiction, Fiction, Science fiction, Memory, Ethics, Dystopias, Blind, Braille language materials, Books and reading, Children's fiction, New York Times reviewed, Literature, Dystopian, Sci Fi, Novel, Children's literature, study and teaching, Children's literature, examinations, questions, etc., Newbery Medal, Ciencia-ficción, Classic, Individuality, Comic books, strips, Graphic novels, YOUNG ADULT FICTION / Comics & Graphic Novels / Dystopian, YOUNG ADULT FICTION / Comics & Graphic Novels / Fantasy, YOUNG ADULT FICTION / Comics & Graphic Novels / Coming of Age, Adventure and adventurers, fiction, Liberty, Social prediction, award:Newbery_award"
Me Before You,Jojo Moyes,English,2012,,12000000,"bestseller, contemporary, english, fiction, relationships, language, large, life, love, manwoman, materials, men, new, novel, people, relationships, relationships, reviewed, romance, spanish, specimens, stories, times, translation, type, women, american, youth",Fiction,large type books,"bestseller, contemporary, english, ficción, interpersonal, language, large, life, love, manwoman, materials, men, new, novela, people, relations, relationships, reviewed, romance, spanish, specimens, stories, times, translations, type, women, york, young",Uncategorized,"Young women, FICTION / Contemporary Women, FICTION / Romance / Contemporary, Fiction, Paraplegics, Fiction, women, Fiction, romance, contemporary, Young women, fiction, People with disabilities, fiction, Contemporary Women, Entrepreneurship, Paralysis, Contemporary, Emotions, Caregivers, Romance, Business enterprises, People with disabilities, Wheelchairs, Love stories, Quadriplegics, Large type books, nyt:trade-fiction-paperback=2013-08-18, New York Times bestseller, New York Times reviewed, Interpersonal relations, Man-woman relationships, Romance fiction, Man-woman relations, Life change events, nyt:mass-market-paperback=2016-05-15, Success, Relaciones hombre-mujer, Bossiness, English Romance fiction, Parapléjicos, Jóvenes (Mujeres), Ficción, Specimens, Exito, English language, Men with disabilities, Spanish language materials, Translations, Novela, Cuidadores, Paralytics"
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,,12000000,"author, chinese, contemporary, english, fiction, into, language, manwoman, men, novel, one, relationships, roman, romance, roman, russian, chinese, translation, works, chinese, youth",Fiction,romans,"author, chinese, contemporary, english, fictional, into, language, manwoman, men, nouvelles, one, relationships, roman, romance, romans, russian, shuo, translations, works, xiao, young",Uncategorized,"Student, Theaterwissenschaft, Liebesbeziehung, Belletristische Darstellung, Fiction, romance, general, College students, Fiction, Man-woman relationships, Young men, Fiction, romance, contemporary, Japan, fiction, Near and far eastern fiction (fictional works by one author), Chinese fiction, Chang pian xiao shuo, Japanese fiction, Translations into Chinese, Translations into Russian, College students in fiction, Nineteen sixties, Xiao shuo, Language and languages, Translations into English, Roman japonais, Années soixante (Vingtième siècle), Romans, nouvelles, Tokyo (japan), fiction, Étudiants"
The Plague (La Peste),Albert Camus,French,1947,,12000000,"author, classic, drama, drama, fiction, french, french, education, literature, novel, novel, one, psychology, reading, romance, roman, works",Fiction,romans,"author, classics, drama, dramatic, fictional, france, french, levelgrade, literary, nouvelles, novela, one, psychological, reading, romance, romans, works",Uncategorized,"Fiction, Plague, Plague in literature, Epidemics, Peste bubónica, FICTION / Classics, FICTION / Psychological, FICTION / Literary, Continental european fiction (fictional works by one author), Medicine in Literature, French fiction, Psychological, Reading Level-Grade 11, Reading Level-Grade 12, Fiction, medical, France, fiction, Drama (dramatic works by one author), Romance literature, Fiction, psychological, Fiction, classics, Determination (Personality trait), Peste, Romans, nouvelles, Romance Frances, Novela"
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,,12000000,,Unknown,,,Uncategorized,
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,,12000000,"19391945, aspects, biography, biography, drama, german, holocaust, jewish, life, narratives, people, philosophy, psychology, psychology, social, education, education, war, world",Unknown,biography,"19391945, aspects, autobiography, biography, drama, german, holocaust, jewish, life, narratives, personal, philosophy, psychological, psychology, social, study, teaching, war, world",Uncategorized,"Nazi concentration camps, psychotherapy, meaning of life, freedom of choice, kapo, Konzentrationslager, Erlebnisbericht, spirituality, war and conflict, autobiography, Biography, Concentration camps, Existentialism, German Prisoners and prisons, Holocaust, Jewish (1939-1945), Logotherapy, Personal narratives, Prison psychology, Prisoners and prisons, German, Psychological aspects, Psychological aspects of Concentration camps, Psychological aspects of Holocaust, Jewish (1939-1945), Psychologists, World War, 1939-1945, Psychoanalytic Therapy, War, Prisons, Meaning (Psychology), Concentration camp inmates, Camps de concentration, Psychologie, Prisonniers, Logothérapie, Guerre mondiale, 1939-1945, Prisonniers et prisons des Allemands, Existentialisme, Koncentrationsläger, PSYCHOLOGY, Holocaust, 1939-1945, Social Psychology, Counseling, Holocaust, jewish (1939-1945), personal narratives, Holocaust, jewish (1939-1945), psychological aspects, Psychologists, biography, Austria, biography, Frankl, viktor emil, 1905-1997, Jing shen fen xi, Holocaust, Jewish (1939-1945) fast (OCoLC)fst00958866, Fen xi xin li xue, Psychiatrie, Aspect psychologique, Biographies, Recits personnels, Sens (philosophie), Holocauste, 1939-1945, Logotherapie, Psychologues, Psicoterapia, Logoterapia, Existential psychotherapy, Existentiell psykoterapi, Logoterapi, Livets mening, Psykologiska aspekter, Förintelsen, Internal medicine, Shoah, Récits personnels, Nazi concentration camp inmates, Holocausto, judío (1939-1945), Narrativas personales, Aspectos psicológicos, X, Biografía, Significación (Psicología), Biografías, Organization & administration, Existential psychology, Correspondence, Drama, Pathological Psychology, Psychoanalysis and philosophy, Psychiatrists & psychologists - biography, Holocaust - personal narratives, Holocaust biographies, Individual psychologists, Holocaust - study & teaching"
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,,,"author, classic, classic, criticism, english, fiction, into, language, manuscripts, materials, one, pictorial, poetry, romance, translation, works",Fiction,classic literature,"author, classic, classics, criticism, english, fictional, into, language, manuscripts, materials, one, pictorial, poetry, romance, translations, works",Uncategorized,"Poetry, Heaven, Paradise, Heaven in literature, Bibliography, Translations into English, Dictionaries, Paradise in literature, Rime, Italian literature, Pictorial works, Classic Literature, Fiction, Italian language materials, Poetry & poets, Poetry texts & anthologies, Italian Poetry, Italian, Literature: Classics, Ancient, Classical & Medieval, Continental European, Poetry / General, Continental european fiction (fictional works by one author), Poetry (poetic works by one author), Poetry, collections, Heaven--poetry, Pq4315.4 .m3 1986, 18.29 Italian literature, La divina commedia (Dante), Divina commedia (Dante Alighieri), Paradiso (Dante Alighieri), Fiction, general, Textual Criticism, Medieval Manuscripts, Italian Manuscripts, Biblioteca medicea laurenziana, Romance literature, Classics, Purgatory, Bilingual books"
The Prophet,Kahlil Gibran,English,1923,,11000000,"adaptations, american, author, classic, comics, criticism, death, english, graphic, translation, into, literature, novel, one, philosophy, poetry, religion, spanish, tales, translation, works",Fiction,american literature,"adaptations, american, author, classic, comics, criticism, death, english, graphic, interpretation, into, literatura, novels, one, philosophy, poetry, religious, spanish, tales, translations, works",Uncategorized,"American Prose poems, Lebanese, Prose, Essays Classic Literature, Criticism and interpretation, Fiction, Mysticism, Poetry, Translations into Arabic, Translations into Spanish, existentialism, existential, philosophy, philosophical, Prose poems, American, Poetry (poetic works by one author), Mysticism, poetry, Translation into Italian, LITERATURA LIBANESA, POESIAS LIBANESAS, PROSA LIBANESA, Poemas en prosa estadounidenses, Traducciones al español, Misticismo, Poesía, Arabic poetry, Translations into English, Religious, Spiritual, Inspirational, Fairy tales, Philosophy and religion, freedom, reason, passion, pain, self-knowledge, death, Lebensphilosophie, Spirituality, Philosophy, Comics & graphic novels, adaptations, Adaptations, Graphic novels, American literature"
