Book,Author(s),Original language,First published,Genre,Approximate sales (millions), All Subjects,Book_Type,Most common subject phrase,From top 200 phrases,Subjects,Most common subject phrase normalized
Na margem do rio Piedra eu sentei e chorei,"Paulo Coelho, Alan R. Clarke",eng,1994,genre fiction,37584.0,,Unknown,,,,
Der Schweizerische Robinson,"Johann David Wyss, Scott McKowen, Arthur Pober",eng,1812,genre fiction,37584.0,"Fiction, Survival, Survival in fiction, Family life, Family life in fiction, Islands, Islands in fiction, Juvenile fiction, Family, Survival after airplane accidents, shipwrecks, Family in fiction, Juvenile literature, Voyages, Families, Shipwrecks, Imaginary",Fiction,juvenile fiction,"families, family, family life, juvenile fiction, juvenile literature, survival","family, juvenile fiction, juvenile literature, survival",juvenile fiction
Four Past Midnight,Stephen King,en-GB,1990,nonfiction,37368.0,"paranormal, nightmares, cuckoo clocks, word processors, Polaroid cameras, speechwriting, Dissociative identity disorder, ambush, sanity, caretakers, plagiarism, housemaids, short stories, diction, Fiction, Horror, Thriller, supernatural, red-eye flights, autopilot, American Horror tales, Vdobibl, Horror fiction, Horror tales, New York Times reviewed, Fiction, horror, Fiction, short stories (single author), Horror stories, Fiction, romance, general, Fiction, erotica, general",Fiction,romance,"horror, horror fiction, horror tales, new york times reviewed, romance, short stories, supernatural, thriller","horror, horror fiction, horror tales, new york times reviewed, romance, short stories, supernatural, thriller",romance
The Marriage Bargain,Jennifer Probst,eng,2012,genre fiction,37368.0,"Fiction, Romance, Historical, Regency, Fiction, general",Fiction,historical,"historical, romance","historical, romance",historical
Anne of Avonlea,L.M. Montgomery,en-US,1909,genre fiction,37368.0,"Fiction, History, Juvenile fiction, Orphans, Teachers, Islands, Teachers in fiction, Orphans in fiction, Prince Edward Island in fiction, Islands in fiction, Canada in fiction, Children's stories, Anne Shirley (Fictitious character), Teenage girls, Friendship, Rural schools, Prince Edward Island, Country life, Accessible book, OverDrive, Juvenile Literature, Classic Literature, Protected DAISY, Adolescence, Young women, Redheads, Shirley, Anne (Fictitious character), Women teachers, Zhang pian xiao shuo, Er tong wen xue, Children's fiction, Shirley, anne (fictitious character), fiction, Orphans, fiction, Prince edward island, fiction, Teachers, fiction, Teaching, Canada, fiction, Fiction (Canadian), Fiction, general",Fiction,childrens fiction,"accessible book, childrens fiction, childrens stories, classic literature, friendship, history, juvenile fiction, juvenile literature, orphans, protected daisy, teenage girls, young women","accessible book, childrens fiction, childrens stories, classics, friendship, history, juvenile fiction, juvenile literature, orphans, protected daisy, teenage girls, young women",childrens fiction
The Little Engine That Could,"Watty Piper, Doris Hauman, George Hauman",en-US,1930,genre fiction,37152.0,"engine, Trains, Locomotives, Juvenile fiction, Toys, Railroads, Fiction, Children's stories, Christmas, kid's book, Railroad trains, Locomotives, fiction, Toys, fiction, Children's fiction, Toy and movable books, Railroads, fiction, Behavior, fiction",Fiction,childrens fiction,"childrens fiction, childrens stories, juvenile fiction, toy and movable books","childrens fiction, childrens stories, juvenile fiction, toy and movable books",childrens fiction
We Are All Completely Beside Ourselves,Karen Joy Fowler,eng,2013,genre fiction,37152.0,"psychological fiction, domestic fiction, Life change events, Families, Chimpanzees as pets, Family life, Fiction, Coming of age, Roman, Self-realization in women, Human-animal relationships, Amerikanisches Englisch, Adolescence, Fiction, family life, Fiction, psychological, Fiction, coming of age, Large type books, nyt:trade-fiction-paperback=2014-03-16, New York Times bestseller, Fiction, family life, general, Chimpanzees, Literary, Fiction, general",Fiction,large type books,"amerikanisches englisch, coming of age, domestic fiction, families, family life, large type books, literary, new york times bestseller, psychological, psychological fiction, roman","amerikanisches englisch, coming of age, domestic fiction, family, large type books, literature, new york times bestseller, psychological, psychological fiction, romans",large type books
Children of the Mind,Orson Scott Card,eng,1996,genre fiction,36936.0,"Science Fiction, Fiction, Fiction, science fiction, general, Wiggin, ender (fictitious character), fiction",Fiction,science fiction,science fiction,science fiction,science fiction
Ulysses,James Joyce,eng,1922,genre fiction,36936.0,"Married people, Male friendship, Fiction, Historical Fiction, Psychological fiction, Alienation (Social psychology), Textual Criticism, Molly Bloom (Fictitious character), Bloom, Molly (Personaje literario), Men, Facsimiles, Jewish men, Leopold Bloom (Fictitious character), English Manuscripts, Classic Literature, Domestic fiction, Proofs (Printing), Prohibited books, Bloom, Leopold (Personaje literario), Open Library Staff Picks, Immoral Literature, open_syllabus_project, Translations into Irish, City and town life, Law and legislation, Manuscripts, Hombres, Artists, Ficción, Long Now Manual for Civilization, Stream of consciousness, British and irish fiction (fictional works by one author), Bloom, leopold (fictitious character), fiction, Bloom, molly (fictitious character), fiction, Dublin (ireland), fiction, Fiction, psychological, Dedalus, stephen (fictitious character), fiction, Fiction, family life, Married people, fiction, Friendship, fiction, Joyce, james, 1882-1941, Photograph collections, Revolutions, Revolutionaries, Photography, Pictorial works, History, Artists, fiction, Fiction, general, English fiction, English literature, Ireland, fiction, Fiction, family life, general, New York Times reviewed, Fiction, erotica, general, Vie urbaine, Romans, nouvelles, Couples mariés, Hommes juifs, Artistes, Aliénation (Psychologie sociale), Amitié masculine, Littérature anglaise, Experimental fiction, Englisch, NOVELAS IRLANDESAS, Stream of consciousness fiction, Courant de conscience (Littérature), Belletristische Darstellung, Bloom, leopold (fictitious character), Bloom, leopold (fictitious character)--fiction, Bloom, molly (fictitious character), Bloom, molly (fictitious character)--fiction, Men--ireland--dublin--fiction, Bloom, leopold (fictional character), Bloom, leopold (fictional character)--fiction, Bloom, molly (fictional character), Bloom, molly (fictional character)--fiction, Men--dublin (ireland)--fiction, Pr6019.o9 u442 1993, 823/.912, Alienation (social psychology)--fiction, City and town life--fiction, Male friendship--fiction, Married people--fiction, Jewish men--fiction, Artists--fiction, Pr6019.o9 u4 1990, Book: sga joy, Psychology, Loss (Psychology)",Fiction,romans,"artists, classic literature, domestic fiction, english fiction, english literature, family life, ficción, friendship, historical fiction, history, long now manual for civilization, manuscripts, married people, new york times reviewed, nouvelles, open library staff picks, open_syllabus_project, pictorial works, psychological, psychological fiction, psychology, romans","artists, classics, domestic fiction, english fiction, english literature, family, fiction, friendship, historical fiction, history, long now manual for civilization, manuscripts, marriage, new york times reviewed, nouvelles, open library staff picks, open_syllabus_project, pictorial works, psychological, psychological fiction, romans",romans
Someone Like You,Sarah Dessen,eng,1998,nonfiction,36936.0,"Pregnancy, Fiction, Unmarried mothers, Friendship, Children's fiction, Friendship, fiction, Unmarried mothers, fiction, Pregnancy, fiction",Fiction,childrens fiction,"childrens fiction, friendship","childrens fiction, friendship",childrens fiction
Moloka'i,Alan Brennert,en-US,2003,nonfiction,36720.0,"Fiction, Leprosy in fiction, Patients, Women, Leprosy, Women in fiction, Fiction, general, Hawaii, fiction, Fiction, psychological, Fiction, medical, Psychological fiction",Fiction,women,"psychological, psychological fiction, women","psychological, psychological fiction, women",women
The Witching Hour,Anne Rice,eng,1990,nonfiction,36504.0,"spirits, psychics, neurosurgeons, Fiction, Witchcraft, Ficción, Witches, Brujería, Sorcellerie, Fantasy fiction, Romans, nouvelles, Fiction, horror, Mayfair family (fictitious characters), fiction, New orleans (la.), fiction, Louisiana, fiction, German fiction, Translations from English, English fiction, Translations into German, German language materials, Fiction, occult & supernatural, Novela estadounidense, Traducciones al español, Sorcières",Fiction,romans,"english fiction, fantasy fiction, ficción, horror, nouvelles, romans, translations from english, witches","english fiction, fantasy fiction, fiction, horror, nouvelles, romans, translations from english, witches",romans
This Present Darkness,Frank E. Peretti,eng,1986,genre fiction,36504.0,"Fiction, Fiction, thrillers, suspense, Baal (Deity), New Age movement, American Christian fiction, Baal (Canaanite deity), Fiction, suspense, Large type books, Christian fiction, Christian Life & Practice, Salvation, Satanism, Fiction, religious, Fiction, visionary & metaphysical, Clergy, fiction, Journalists, fiction, Fiction, christian, general",Fiction,large type books,"large type books, suspense, thrillers","large type books, suspense, thriller",large type books
The Coincidence of Callie & Kayden,Jessica Sorensen,eng,2012,genre fiction,36504.0,"College students, Teenagers, Fiction, Fiction, romance, contemporary, Man-woman relationships, fiction",Fiction,romance,"contemporary, manwoman relationships, romance","contemporary, manwoman relationships, romance",romance
Fates and Furies,Lauren Groff,eng,2015,genre fiction,36504.0,"FICTION / Family Life, Large type books, Married people, Dramatists, Fiction, Man-woman relationships, Fiction, family life, Married people, fiction, English literature, FICTION / Contemporary Women, FICTION / Literary, Secrets, Jealousy, Emotions, Friendship, Roman familial, Couples mariés, Romans, nouvelles, Dramaturges, Literary, Family Life, Contemporary Women, Love stories, Interpersonal relations, nyt:hardcover-fiction=2015-10-04, New York Times bestseller, New York Times reviewed, Fiction, family life, general",Fiction,large type books,"english literature, family life, fiction  literary, friendship, interpersonal relations, large type books, literary, love stories, manwoman relationships, married people, new york times bestseller, new york times reviewed, nouvelles, romans","english literature, family, fiction  literary, friendship, interpersonal relations, large type books, literature, love, manwoman relationships, marriage, new york times bestseller, new york times reviewed, nouvelles, romans",large type books
